latitude,longitude,nome,tipo
38.67955,-8.454561,Vendas Novas,station
39.850875,-8.652284,Vermoil,station
40.139659,-8.703462,Verride,station
41.141222,-7.26203,Vesúvio,halt
41.695208,-8.831558,Viana Do Castelo,station
41.098599,-8.588507,Vila D'Este,station
40.924274,-8.535391,Vila Da Feira,station
41.357442,-8.406244,Vila Das Aves,station
40.497817,-7.147993,Vila Fernando,halt
40.724774,-7.258152,Vila Franca Das Naves,station
38.955299,-8.986229,Vila Franca De Xira,halt
41.246095,-8.184833,Vila Meã,station
38.293793,-8.035064,Vila Nova Da Baronia,station
39.036465,-8.928033,Vila Nova Da Rainha,halt
40.107755,-8.637885,Vila Nova De Anços,halt
41.935973,-8.748322,Vila Nova De Cerveira,station
40.192951,-8.525001,Vila Pouca Do Campo,halt
37.199713,-7.42146,Vila Real De Santo António,station
40.606099,-6.829244,Vilar Formoso,station
40.263243,-8.441358,Vilela - Fornos,halt
39.086584,-8.827872,Virtudes,halt
41.177236,-8.646534,Viso,station
41.379087,-8.312367,Vizela,station
40.834197,-8.601501,Válega,station
39.006366,-9.183199,Zibreira,halt
41.200717,-8.556503,Águas Santas,halt
40.577519,-8.448275,Águeda,station
41.813061,-8.862478,Âncora-Praia,halt
38.56041,-7.907106,Évora,station
39.364895,-9.159024,Óbidos,halt
